sample_id,task,cache_type,f1,input_length,peak_memory_gb,generation_time_s,oom,generated_chars
narrativeqa_1,narrativeqa,baseline,0.0377,4096.0,14.963,1.463,False,323.0
narrativeqa_2,narrativeqa,baseline,0.0357,4096.0,14.963,1.458,False,342.0
narrativeqa_3,narrativeqa,baseline,0.0357,4096.0,14.963,1.457,False,322.0
narrativeqa_4,narrativeqa,baseline,0.0351,4096.0,14.963,1.461,False,337.0
narrativeqa_5,narrativeqa,baseline,0.0357,4096.0,14.963,1.459,False,346.0
narrativeqa_6,narrativeqa,baseline,0.037,4096.0,14.963,1.459,False,320.0
narrativeqa_7,narrativeqa,baseline,0.0357,4096.0,14.963,1.457,False,336.0
narrativeqa_8,narrativeqa,baseline,0.0357,4096.0,14.963,1.46,False,340.0
narrativeqa_9,narrativeqa,baseline,0.037,4096.0,14.963,1.462,False,316.0
narrativeqa_10,narrativeqa,baseline,0.0357,4096.0,14.963,1.458,False,347.0
narrativeqa_11,narrativeqa,baseline,0.037,4096.0,14.963,1.46,False,329.0
narrativeqa_12,narrativeqa,baseline,0.0364,4096.0,14.963,1.459,False,326.0
narrativeqa_13,narrativeqa,baseline,0.0364,4096.0,14.963,1.46,False,328.0
narrativeqa_14,narrativeqa,baseline,0.0364,4096.0,14.963,1.459,False,340.0
narrativeqa_0,narrativeqa,hetero_kv,0.0357,4096.0,14.963,1.465,False,344.0
narrativeqa_1,narrativeqa,hetero_kv,0.037,4096.0,14.963,1.466,False,323.0
narrativeqa_2,narrativeqa,hetero_kv,0.0364,4096.0,14.963,1.463,False,339.0
narrativeqa_3,narrativeqa,hetero_kv,0.0357,4096.0,14.963,1.464,False,329.0
narrativeqa_4,narrativeqa,hetero_kv,0.0364,4096.0,14.963,1.465,False,352.0
narrativeqa_5,narrativeqa,hetero_kv,0.037,4096.0,14.963,1.464,False,341.0
narrativeqa_6,narrativeqa,hetero_kv,0.0364,4096.0,14.963,1.466,False,341.0
narrativeqa_7,narrativeqa,hetero_kv,0.0364,4096.0,14.963,1.465,False,342.0
narrativeqa_8,narrativeqa,hetero_kv,0.0377,4096.0,14.963,1.466,False,337.0
narrativeqa_9,narrativeqa,hetero_kv,0.037,4096.0,14.963,1.465,False,331.0
narrativeqa_10,narrativeqa,hetero_kv,0.0357,4096.0,14.963,1.467,False,341.0
narrativeqa_11,narrativeqa,hetero_kv,0.0351,4096.0,14.963,1.466,False,335.0
narrativeqa_12,narrativeqa,hetero_kv,0.0357,4096.0,14.963,1.464,False,336.0
narrativeqa_13,narrativeqa,hetero_kv,0.0377,4096.0,14.963,1.464,False,339.0
narrativeqa_14,narrativeqa,hetero_kv,0.0364,4096.0,14.963,1.469,False,330.0
qasper_0,qasper,baseline,0.0769,4096.0,14.963,1.465,False,381.0
qasper_1,qasper,baseline,0.08,4096.0,14.963,1.463,False,371.0
qasper_2,qasper,baseline,0.0784,4096.0,14.963,1.464,False,382.0
qasper_3,qasper,baseline,0.08,4096.0,14.963,1.464,False,363.0
qasper_4,qasper,baseline,0.0833,4096.0,14.963,1.464,False,345.0
qasper_5,qasper,baseline,0.087,4096.0,14.963,1.465,False,327.0
qasper_6,qasper,baseline,0.08,4096.0,14.963,1.463,False,363.0
qasper_7,qasper,baseline,0.0784,4096.0,14.963,1.464,False,378.0
qasper_8,qasper,baseline,0.0784,4096.0,14.963,1.464,False,387.0
qasper_9,qasper,baseline,0.0816,4096.0,14.963,1.463,False,361.0
qasper_10,qasper,baseline,0.0816,4096.0,14.963,1.465,False,377.0
qasper_11,qasper,baseline,0.08,4096.0,14.963,1.464,False,368.0
qasper_12,qasper,baseline,0.08,4096.0,14.963,1.464,False,368.0
qasper_13,qasper,baseline,0.0784,4096.0,14.963,1.463,False,380.0
qasper_14,qasper,baseline,0.0784,4096.0,14.963,1.463,False,370.0
qasper_0,qasper,hetero_kv,0.0833,4096.0,14.963,1.467,False,353.0
qasper_1,qasper,hetero_kv,0.08,4096.0,14.963,1.47,False,351.0
qasper_2,qasper,hetero_kv,0.08,4096.0,14.963,1.468,False,368.0
qasper_3,qasper,hetero_kv,0.0816,4096.0,14.963,1.469,False,373.0
qasper_4,qasper,hetero_kv,0.0784,4096.0,14.963,1.469,False,363.0
qasper_5,qasper,hetero_kv,0.0816,4096.0,14.963,1.468,False,346.0
qasper_6,qasper,hetero_kv,0.08,4096.0,14.963,1.469,False,369.0
qasper_7,qasper,hetero_kv,0.08,4096.0,14.963,1.469,False,348.0
qasper_8,qasper,hetero_kv,0.08,4096.0,14.963,1.47,False,356.0
qasper_9,qasper,hetero_kv,0.087,4096.0,14.963,1.471,False,340.0
qasper_10,qasper,hetero_kv,0.0784,4096.0,14.963,1.468,False,378.0
qasper_11,qasper,hetero_kv,0.0851,4096.0,14.963,1.468,False,348.0
qasper_12,qasper,hetero_kv,0.0784,4096.0,14.963,1.469,False,370.0
qasper_13,qasper,hetero_kv,0.0816,4096.0,14.963,1.47,False,353.0
qasper_14,qasper,hetero_kv,0.08,4096.0,14.963,1.471,False,371.0
multifieldqa_0,multifieldqa,baseline,0.0,4096.0,14.963,1.47,False,336.0
multifieldqa_1,multifieldqa,baseline,0.0,4096.0,14.963,1.467,False,359.0
multifieldqa_2,multifieldqa,baseline,0.0,4096.0,14.963,1.468,False,369.0
multifieldqa_3,multifieldqa,baseline,0.0,4096.0,14.963,1.466,False,357.0
multifieldqa_4,multifieldqa,baseline,0.0,4096.0,14.963,1.465,False,351.0
multifieldqa_5,multifieldqa,baseline,0.0,4096.0,14.963,1.465,False,345.0
multifieldqa_6,multifieldqa,baseline,0.0,4096.0,14.963,1.47,False,354.0
multifieldqa_7,multifieldqa,baseline,0.0,4096.0,14.963,1.466,False,359.0
multifieldqa_8,multifieldqa,baseline,0.0,4096.0,14.963,1.471,False,354.0
multifieldqa_9,multifieldqa,baseline,0.0,4096.0,14.963,1.468,False,372.0
multifieldqa_10,multifieldqa,baseline,0.0,4096.0,14.963,1.465,False,373.0
multifieldqa_11,multifieldqa,baseline,0.0,4096.0,14.963,1.469,False,343.0
multifieldqa_12,multifieldqa,baseline,0.0,4096.0,14.963,1.465,False,375.0
multifieldqa_13,multifieldqa,baseline,0.0,4096.0,14.963,1.468,False,355.0
multifieldqa_14,multifieldqa,baseline,0.0,4096.0,14.963,1.465,False,371.0
multifieldqa_0,multifieldqa,hetero_kv,0.0,4096.0,14.963,1.47,False,381.0
multifieldqa_1,multifieldqa,hetero_kv,0.0,4096.0,14.963,1.47,False,351.0
multifieldqa_2,multifieldqa,hetero_kv,0.0,4096.0,14.963,1.471,False,384.0
multifieldqa_3,multifieldqa,hetero_kv,0.0,4096.0,14.963,1.475,False,372.0
multifieldqa_4,multifieldqa,hetero_kv,0.0,4096.0,14.963,1.471,False,356.0
multifieldqa_5,multifieldqa,hetero_kv,0.0,4096.0,14.963,1.472,False,343.0
multifieldqa_6,multifieldqa,hetero_kv,0.0,4096.0,14.963,1.471,False,377.0
multifieldqa_7,multifieldqa,hetero_kv,0.0,4096.0,14.963,1.471,False,351.0
multifieldqa_8,multifieldqa,hetero_kv,0.0,4096.0,14.963,1.471,False,360.0
multifieldqa_9,multifieldqa,hetero_kv,0.0,4096.0,14.963,1.471,False,355.0
multifieldqa_10,multifieldqa,hetero_kv,0.0,4096.0,14.963,1.471,False,372.0
multifieldqa_11,multifieldqa,hetero_kv,0.0,4096.0,14.963,1.473,False,374.0
multifieldqa_12,multifieldqa,hetero_kv,0.0,4096.0,14.963,1.47,False,340.0
multifieldqa_13,multifieldqa,hetero_kv,0.0,4096.0,14.963,1.47,False,343.0
multifieldqa_14,multifieldqa,hetero_kv,0.0,4096.0,14.963,1.474,False,382.0
hotpotqa_0,hotpotqa,baseline,0.0,4096.0,14.963,1.464,False,343.0
hotpotqa_1,hotpotqa,baseline,0.0,4096.0,14.963,1.463,False,359.0
hotpotqa_2,hotpotqa,baseline,0.0,4096.0,14.963,1.464,False,351.0
hotpotqa_3,hotpotqa,baseline,0.0,4096.0,14.963,1.463,False,359.0
hotpotqa_4,hotpotqa,baseline,0.0,4096.0,14.963,1.461,False,350.0
hotpotqa_5,hotpotqa,baseline,0.0,4096.0,14.963,1.465,False,375.0
hotpotqa_6,hotpotqa,baseline,0.0,4096.0,14.963,1.463,False,339.0
hotpotqa_7,hotpotqa,baseline,0.0,4096.0,14.963,1.461,False,359.0
hotpotqa_8,hotpotqa,baseline,0.0,4096.0,14.963,1.463,False,386.0
hotpotqa_9,hotpotqa,baseline,0.0,4096.0,14.963,1.463,False,368.0
hotpotqa_10,hotpotqa,baseline,0.0,4096.0,14.963,1.464,False,354.0
hotpotqa_11,hotpotqa,baseline,0.0,4096.0,14.963,1.463,False,354.0
hotpotqa_12,hotpotqa,baseline,0.0,4096.0,14.963,1.463,False,356.0
hotpotqa_13,hotpotqa,baseline,0.0,4096.0,14.963,1.464,False,375.0
hotpotqa_14,hotpotqa,baseline,0.0,4096.0,14.963,1.463,False,382.0
hotpotqa_0,hotpotqa,hetero_kv,0.0,4096.0,14.963,1.468,False,359.0
hotpotqa_1,hotpotqa,hetero_kv,0.0,4096.0,14.963,1.468,False,359.0
hotpotqa_2,hotpotqa,hetero_kv,0.0,4096.0,14.963,1.469,False,364.0
hotpotqa_3,hotpotqa,hetero_kv,0.0,4096.0,14.963,1.468,False,375.0
hotpotqa_4,hotpotqa,hetero_kv,0.0,4096.0,14.963,1.469,False,348.0
hotpotqa_5,hotpotqa,hetero_kv,0.0,4096.0,14.963,1.47,False,371.0
hotpotqa_6,hotpotqa,hetero_kv,0.0,4096.0,14.963,1.469,False,383.0
hotpotqa_7,hotpotqa,hetero_kv,0.0,4096.0,14.963,1.469,False,359.0
hotpotqa_8,hotpotqa,hetero_kv,0.0,4096.0,14.963,1.467,False,361.0
hotpotqa_9,hotpotqa,hetero_kv,0.0,4096.0,14.963,1.469,False,350.0
hotpotqa_10,hotpotqa,hetero_kv,0.0,4096.0,14.963,1.47,False,346.0
hotpotqa_11,hotpotqa,hetero_kv,0.0,4096.0,14.963,1.468,False,351.0
hotpotqa_12,hotpotqa,hetero_kv,0.0,4096.0,14.963,1.468,False,335.0
hotpotqa_13,hotpotqa,hetero_kv,0.0,4096.0,14.963,1.468,False,383.0
hotpotqa_14,hotpotqa,hetero_kv,0.0,4096.0,14.963,1.469,False,333.0
musique_0,musique,baseline,0.0,4096.0,14.963,1.464,False,374.0
musique_1,musique,baseline,0.0,4096.0,14.963,1.464,False,373.0
musique_2,musique,baseline,0.0,4096.0,14.963,1.464,False,384.0
musique_3,musique,baseline,0.0,4096.0,14.963,1.463,False,349.0
musique_4,musique,baseline,0.0,4096.0,14.963,1.465,False,373.0
musique_5,musique,baseline,0.0,4096.0,14.963,1.463,False,337.0
musique_6,musique,baseline,0.0,4096.0,14.963,1.463,False,372.0
musique_7,musique,baseline,0.0,4096.0,14.963,1.464,False,353.0
musique_8,musique,baseline,0.0,4096.0,14.963,1.467,False,341.0
musique_9,musique,baseline,0.0,4096.0,14.963,1.464,False,365.0
musique_10,musique,baseline,0.0,4096.0,14.963,1.465,False,366.0
musique_11,musique,baseline,0.0,4096.0,14.963,1.465,False,373.0
musique_12,musique,baseline,0.0,4096.0,14.963,1.462,False,356.0
musique_13,musique,baseline,0.0,4096.0,14.963,1.462,False,355.0
musique_14,musique,baseline,0.0,4096.0,14.963,1.465,False,375.0
musique_0,musique,hetero_kv,0.0,4096.0,14.963,1.47,False,346.0
musique_1,musique,hetero_kv,0.0,4096.0,14.963,1.47,False,356.0
musique_2,musique,hetero_kv,0.0,4096.0,14.963,1.468,False,367.0
musique_3,musique,hetero_kv,0.0,4096.0,14.963,1.471,False,363.0
musique_4,musique,hetero_kv,0.0,4096.0,14.963,1.47,False,349.0
musique_5,musique,hetero_kv,0.0,4096.0,14.963,1.47,False,387.0
musique_6,musique,hetero_kv,0.0,4096.0,14.963,1.47,False,390.0
musique_7,musique,hetero_kv,0.0,4096.0,14.963,1.47,False,345.0
musique_8,musique,hetero_kv,0.0,4096.0,14.963,1.468,False,369.0
musique_9,musique,hetero_kv,0.0,4096.0,14.963,1.47,False,378.0
musique_10,musique,hetero_kv,0.0,4096.0,14.963,1.469,False,364.0
musique_11,musique,hetero_kv,0.0,4096.0,14.963,1.471,False,366.0
musique_12,musique,hetero_kv,0.0,4096.0,14.963,1.471,False,371.0
musique_13,musique,hetero_kv,0.0,4096.0,14.963,1.469,False,346.0
musique_14,musique,hetero_kv,0.0,4096.0,14.963,1.47,False,340.0
gov_report_0,gov_report,baseline,0.0,4096.0,14.963,1.461,False,384.0
gov_report_1,gov_report,baseline,0.0,4096.0,14.963,1.464,False,378.0
gov_report_2,gov_report,baseline,0.0,4096.0,14.963,1.459,False,336.0
gov_report_3,gov_report,baseline,0.0,4096.0,14.963,1.461,False,354.0
gov_report_4,gov_report,baseline,0.0,4096.0,14.963,1.463,False,340.0
gov_report_5,gov_report,baseline,0.0,4096.0,14.963,1.461,False,369.0
gov_report_6,gov_report,baseline,0.0,4096.0,14.963,1.463,False,349.0
gov_report_7,gov_report,baseline,0.0,4096.0,14.963,1.462,False,336.0
gov_report_8,gov_report,baseline,0.0,4096.0,14.963,1.465,False,329.0
gov_report_9,gov_report,baseline,0.0,4096.0,14.963,1.462,False,380.0
gov_report_10,gov_report,baseline,0.0,4096.0,14.963,1.463,False,378.0
gov_report_11,gov_report,baseline,0.0,4096.0,14.963,1.464,False,343.0
gov_report_12,gov_report,baseline,0.0,4096.0,14.963,1.464,False,343.0
gov_report_13,gov_report,baseline,0.0,4096.0,14.963,1.463,False,330.0
gov_report_14,gov_report,baseline,0.0,4096.0,14.963,1.466,False,336.0
gov_report_0,gov_report,hetero_kv,0.0,4096.0,14.963,1.466,False,354.0
gov_report_1,gov_report,hetero_kv,0.0,4096.0,14.963,1.466,False,326.0
gov_report_2,gov_report,hetero_kv,0.0,4096.0,14.963,1.471,False,361.0
gov_report_3,gov_report,hetero_kv,0.0,4096.0,14.963,1.468,False,389.0
gov_report_4,gov_report,hetero_kv,0.0,4096.0,14.963,1.468,False,347.0
gov_report_5,gov_report,hetero_kv,0.0,4096.0,14.963,1.468,False,369.0
gov_report_6,gov_report,hetero_kv,0.0,4096.0,14.963,1.468,False,379.0
gov_report_7,gov_report,hetero_kv,0.0,4096.0,14.963,1.467,False,348.0
gov_report_8,gov_report,hetero_kv,0.0,4096.0,14.963,1.47,False,392.0
gov_report_9,gov_report,hetero_kv,0.0,4096.0,14.963,1.468,False,361.0
gov_report_10,gov_report,hetero_kv,0.0,4096.0,14.963,1.468,False,361.0
gov_report_11,gov_report,hetero_kv,0.0,4096.0,14.963,1.467,False,382.0
gov_report_12,gov_report,hetero_kv,0.0,4096.0,14.963,1.468,False,363.0
gov_report_13,gov_report,hetero_kv,0.0,4096.0,14.963,1.467,False,360.0
gov_report_14,gov_report,hetero_kv,0.0,4096.0,14.963,1.469,False,363.0
trec_0,trec,baseline,0.0,4096.0,14.963,1.465,False,362.0
trec_1,trec,baseline,0.0,4096.0,14.963,1.467,False,346.0
trec_2,trec,baseline,0.0,4096.0,14.963,1.467,False,334.0
trec_3,trec,baseline,0.0,4096.0,14.963,1.466,False,338.0
trec_4,trec,baseline,0.0,4096.0,14.963,1.467,False,366.0
trec_5,trec,baseline,0.0,4096.0,14.963,1.466,False,358.0
trec_6,trec,baseline,0.0,4096.0,14.963,1.467,False,344.0
trec_7,trec,baseline,0.0,4096.0,14.963,1.465,False,356.0
trec_8,trec,baseline,0.0,4096.0,14.963,1.468,False,372.0
trec_9,trec,baseline,0.0,4096.0,14.963,1.466,False,351.0
trec_10,trec,baseline,0.0,4096.0,14.963,1.466,False,377.0
trec_11,trec,baseline,0.0,4096.0,14.963,1.465,False,367.0
trec_12,trec,baseline,0.0,4096.0,14.963,1.467,False,371.0
trec_13,trec,baseline,0.0,4096.0,14.963,1.467,False,354.0
trec_14,trec,baseline,0.0,4096.0,14.963,1.468,False,366.0
trec_0,trec,hetero_kv,0.0,4096.0,14.963,1.474,False,337.0
trec_1,trec,hetero_kv,0.0,4096.0,14.963,1.474,False,378.0
trec_2,trec,hetero_kv,0.0,4096.0,14.963,1.473,False,335.0
trec_3,trec,hetero_kv,0.0,4096.0,14.963,1.47,False,376.0
trec_4,trec,hetero_kv,0.0,4096.0,14.963,1.471,False,361.0
trec_5,trec,hetero_kv,0.0,4096.0,14.963,1.471,False,363.0
trec_6,trec,hetero_kv,0.0,4096.0,14.963,1.471,False,367.0
trec_7,trec,hetero_kv,0.0,4096.0,14.963,1.472,False,329.0
trec_8,trec,hetero_kv,0.0,4096.0,14.963,1.47,False,336.0
trec_9,trec,hetero_kv,0.0,4096.0,14.963,1.471,False,321.0
trec_10,trec,hetero_kv,0.0,4096.0,14.963,1.473,False,359.0
trec_11,trec,hetero_kv,0.0,4096.0,14.963,1.472,False,312.0
trec_12,trec,hetero_kv,0.0,4096.0,14.963,1.473,False,350.0
trec_13,trec,hetero_kv,0.0,4096.0,14.963,1.472,False,369.0
trec_14,trec,hetero_kv,0.0,4096.0,14.963,1.472,False,380.0
